id	filename	md5	size	state
033ab170-9117-4a95-a677-05e873572906	TCGA-08-0511-01Z-00-DX1.D3DD762E-5B8C-47BB-8E12-1C4076BE21D3.svs	fc639b636b151b1fa32d9320493bc1bf	1461084175	validated	Primary Tumor
07687b67-347f-46b0-90ed-5fbd2aa8f9ff	TCGA-02-0333-01Z-00-DX1.fe18103d-36ca-47bf-9ce7-b0e683f4decf.svs	3782935ebb40255dc8feb7110db27570	603811003	validated	Primary Tumor
07ca4c5c-554d-4a80-a54b-61e555d81269	TCGA-06-0213-01Z-00-DX1.16219fe9-0be9-46b2-9190-02b981c4bc39.svs	7fe9ac35b0d4e3981ea545aae49d6d7d	479171991	validated	Primary Tumor
0b42b9d7-c52d-4de7-ab3f-26503d9f4d58	TCGA-02-0333-01Z-00-DX2.2163628B-0639-46D6-9587-060955EF1031.svs	59f0edc7a892998f3068786dc634ed94	2179799962	validated	Primary Tumor
11de0f53-fa18-4998-8ce4-93c6e0db908f	TCGA-19-1388-01Z-00-DX1.75e1e1f5-87d8-4cd6-ac9b-5341fc72d6ad.svs	1e8cad00bc0ec64c03c917f3fca0f0c9	19507549	validated	Primary Tumor
124abbc5-364b-4a22-a281-38ec7d0c0e16	TCGA-02-0337-01Z-00-DX2.D9CB7383-D647-4B71-9127-D039A2C04B48.svs	51b8a120e15a195e9f67b1746294a1d3	2329611136	validated	Primary Tumor
1365752a-b3be-4cbf-ae01-955a9f1bce19	TCGA-EW-A1J3-01A-01-TSA.fdb88562-3185-43d4-ab9a-3d5a8f4a9edb.svs	4b1c518ae419aeeb7c4b6e844fb6a94b	306485881	validated	Primary Tumor
1440efb9-c972-4b9b-9a3d-e92165220e2e	TCGA-06-0187-01Z-00-DX1.cdb244df-72af-4ffa-b063-a4ab81f89617.svs	987d13f7b255f462a1de5143cba4db50	187704133	validated	Primary Tumor
153d041b-751e-4971-a8d2-963a9f2f8ac9	TCGA-06-0213-01Z-00-DX2.5968b29e-a689-4d8a-80b0-e0ffff8bcec6.svs	59f816d35a9caa72ad30ecec6a93d2c9	434764615	validated	Primary Tumor
1d42939b-8a90-4b5d-84c9-963ba006e478	TCGA-12-0615-01Z-00-DX2.02099a56-eb5f-4b37-899a-dde55ff7f939.svs	6a7153b648eb5896e40bed4ef89007e3	194725389	validated	Primary Tumor
1fc9aa78-01f6-4175-b8ae-f5e43877e63a	TCGA-E2-A153-11A-02-TS2.00af80a8-4672-4434-99b0-474c720f1090.svs	b7d4765d63f80729ceaaddc76392eb95	118981291	validated	Solid Tissue Normal
2073b4e8-9d13-441d-81bf-68bfe6791004	TCGA-19-5947-01A-01-TS1.ab466a24-e917-4887-bc98-1dc8008ec851.svs	51ebd8163a709b608a0ea97edef7f000	34522679	validated	Primary Tumor
252902f6-0131-4fc4-b324-7cc65dee2c12	TCGA-06-0397-01A-01-TS1.0e8c5b5f-c755-433b-bc06-4eb7a6e0f2e5.svs	2c4200644cf0a0c6594d3c8155de72a3	183371059	validated	Primary Tumor
297933f5-1316-4cb6-b53f-9dbfa7f3d7ed	TCGA-B6-A0RH-01A-02-TSB.ea83f31e-defb-4436-8a58-5b66b18d13b5.svs	ca4406710be93215f190dd3ce10c56ab	160702797	validated	Primary Tumor
2a0113f2-218e-4a7b-b003-3ea594901271	TCGA-06-0187-01A-01-BS1.d4673cd9-10cf-4fd4-b391-72b33d134589.svs	408f7edb2da7031fc0d06e79b91364bf	126416939	validated	Primary Tumor
2b683539-e4a2-4823-8d3b-db6f5a7db86b	TCGA-BH-A1FR-11B-02-TS2.76466a35-4acb-468b-a654-fbc09cbb6e87.svs	5c2e3612b104bad54a3c6ee7dd69ed55	72661145	validated	Solid Tissue Normal
2b9f074e-51d8-4a73-b4a1-044a59d30c1a	TCGA-26-5134-01Z-00-DX1.0498BB2B-7FA9-4DA8-8308-0AE4CBE3F8CB.svs	2abb800f1609721509f440a999b27555	1283574095	validated	Primary Tumor
2f2c6776-d5b7-4d44-9261-7c59fafa5e69	TCGA-06-0213-01Z-00-DX3.337437a8-ffca-4ca2-9b94-902ce032d5f4.svs	c4cd263972cd01bcc298af8feea9e13f	190698047	validated	Primary Tumor
2f67e999-7308-42b8-b441-d818dc041ea4	TCGA-12-3652-01Z-00-DX1.BC31A966-8D64-4447-ACFE-1ED4BB95FEE6.svs	60f1c95edd30822db823c5b14aa980ae	190791576	validated	Primary Tumor
3649b42e-4870-4165-9068-facd35426bdd	TCGA-02-0439-01Z-00-DX1.f2cf499e-1ccd-4765-ab57-a229031d92f3.svs	2f4b628897fd4fa1f6086e71a33c8af0	479035397	validated	Primary Tumor
36ca2b22-43fb-4eb2-849b-f9d57de665b1	TCGA-12-1599-01Z-00-DX3.8833F97C-5897-41E4-8FE3-A98C16BB1C0C.svs	814bb61538457f5b917a66288f91de0c	42962370	validated	Primary Tumor
370fd923-66bb-4ba5-a50f-967b53fa2f8d	TCGA-12-0780-01A-01-TS1.5b47667a-db85-470c-a78b-89b7465fe527.svs	a1a6b015445ccd1a91c3629bfbc4db5a	209758991	validated	Primary Tumor
3ce2a330-adca-40bd-8712-c6cc0533cc6b	TCGA-06-0184-01A-01-TS1.8de2efc8-203b-44d3-9ec9-bde25b87a431.svs	8272e1e28e116874f164eb4844351489	201549261	validated	Primary Tumor
3e965644-524c-487e-b7cd-e4b57e37cb12	TCGA-A2-A0EU-01A-02-TSB.648d1299-d273-4ae2-8926-cfad39ff735a.svs	c8cd617b57018d2f2ef6b39593467d86	179160547	validated	Primary Tumor
41257aae-ea72-48c0-8c14-1431020ce84a	TCGA-06-0156-01Z-00-DX4.38ef8900-41f7-4e9a-a687-03739b5e29f5.svs	f1c752c0c38fbb74e22e0fc06bf8dbd0	73148383	validated	Primary Tumor
