id	filename	md5	size	state
041141cd-04e2-40c9-940f-a728efa340c6	TCGA-E9-A1N4-11A-03-TSC.0ab3ef8b-3590-4449-9fb2-5b9a4cda0df0.svs	d6ca05a3fa70050760dcce92e1e332e4	46016021	validated	Solid Tissue Normal
0a3de921-dcda-4282-bf55-224bee9990de	TCGA-BH-A1EY-11A-01-TSA.c9fcac07-57ec-404c-99d4-89345a2d3c66.svs	8429c1f21a0c92cb5a431b5278d46a46	45784921	validated	Solid Tissue Normal
0eae1d84-2242-4171-964a-b2865141cfd4	TCGA-E9-A1N4-11A-01-TSA.6ac8d430-ff41-4ca3-ad7b-89236666eef3.svs	227b5dba98cde93e92ae13d5e703e020	59114845	validated	Solid Tissue Normal
107e14e6-7758-4ed5-a02f-b5354cf35940	TCGA-BH-A18T-11A-01-TSA.b01c06c8-2562-4e06-984d-a13718ab234e.svs	19a469f99135cb05d1f4fda67955ef7b	82980363	validated	Solid Tissue Normal
11a5dc17-fe05-4949-a5f2-be3e0a1069c1	TCGA-BH-A18N-11A-03-TSC.812dc8a3-8b4b-4c72-b9a6-fe699a63eb89.svs	4df7c9085f77967f62ff956c04d23402	66321057	validated	Solid Tissue Normal
1c95cfff-0b45-41cf-a1f6-8cd9822548ab	TCGA-BH-A0B7-11A-03-TSC.f0571ac2-0655-42b9-895e-e7b4ddc6d16e.svs	694d1934fbf4093fbfefda7b9386776f	85387343	validated	Solid Tissue Normal
28f7c805-9d52-40bd-ad91-707dca7d32e2	TCGA-BH-A18P-11A-02-TSB.aed8eebb-c987-4c08-979b-9bcec70623a9.svs	6e3a7f523491325870eb2a308eb5430f	66563589	validated	Solid Tissue Normal
3bfbce5f-f718-4f58-a067-54858be9127c	TCGA-AC-A2FK-11A-02-TSB.5EDF62BD-0B8E-452E-865F-FD8BFC5C0240.svs	a382c365dbcb68b5ec6af598dbce791b	25475595	validated	Solid Tissue Normal
3ca6e712-c351-4b7b-8842-d18c6d57c34d	TCGA-BH-A18P-11A-04-TSD.cb7daab6-48a4-4cb6-bf0f-9ab5865767d9.svs	52baa724bd2cc0ceb38da4bada24be43	68899141	validated	Solid Tissue Normal
3e44d03c-6c66-47cf-9ba8-0292b33bb648	TCGA-E9-A1NE-11A-01-TSA.7b650e79-2426-4943-a181-07bc7cb769e2.svs	a05f9a945cb5655cece8529c87eb9c73	127985353	validated	Solid Tissue Normal
4680f8e8-48bb-4f80-8496-1606d6c0619c	TCGA-E9-A1NG-11A-02-TSB.6751a8f9-d4ac-4530-b8f7-6806f61ab06e.svs	0b753da57e7ab060cc13b053b474731c	90873719	validated	Solid Tissue Normal
4cd2ad0e-f7d2-4f1b-996f-e89f2b0af1f8	TCGA-BH-A18P-11A-03-TSC.b5e16007-3974-41fe-a948-be4ab25a9b46.svs	789de62b0cb1ea13fae17588b661ef98	78577247	validated	Solid Tissue Normal
4e603516-44a4-42a1-a6fe-e352502f2c31	TCGA-E2-A15I-11A-02-TS2.de04bebf-bc03-43d3-930e-256081110fdc.svs	1b7674f336f6aadfde7a40e064bbd2cd	75960407	validated	Solid Tissue Normal
504b1c85-6633-4043-8343-01d41f700559	TCGA-BH-A0C0-11A-02-BSB.8fef7630-9151-41e4-9d1c-52e083c4772b.svs	baadb0b14836bcc4a220c3a3f2e7517a	53274095	validated	Solid Tissue Normal
58f5c01f-2051-4f1d-b250-283f2d1f7747	TCGA-BH-A18S-11A-04-TSD.d5e1e4d2-e0e4-43e8-8a4c-e4a0721824af.svs	e3c8a24887fb1fb8f37af2202b2dfd54	108494663	validated	Solid Tissue Normal
593619c0-0fdc-4032-a7a1-4960fbd423e0	TCGA-BH-A18V-11A-05-TSE.e0ed4c5f-4c86-4837-a29f-3c5426ebb2b9.svs	5a7d5bd0984f06793722b13e3a13a2e4	110477147	validated	Solid Tissue Normal
5b2ef3e7-ff85-451b-ba10-c5d9d063502f	TCGA-E2-A1IU-11A-03-TSC.1e0a5cc1-d90d-4b19-9f96-93f67139fdb7.svs	fd0dd14eadd6ff3bc7e01c5782f8f3e9	45377717	validated	Solid Tissue Normal
7a811d77-c7a2-4da9-b1d3-d9979ffcd292	TCGA-BH-A0BO-11A-01-TSA.dd5e8987-6e95-4412-b76a-c36cadb44da9.svs	55403550224b856f2a1b420893a20f22	338998249	validated	Solid Tissue Normal
8273af0e-77e4-4024-a9ce-b996fc5a9fa1	TCGA-E2-A1LL-11A-01-TSA.6320d86d-4aea-4fad-b821-fdb172b64d4d.svs	07d04f8ee125f78382447987313f0bcb	104452715	validated	Solid Tissue Normal
8316d85b-cc94-4ae3-b2cd-8698789560ff	TCGA-BH-A1EO-11A-01-TSA.c102b236-df5c-4291-a710-32b34ada3cdf.svs	86dcf17aab50d8e35e2a55f8f5a297bd	52333705	validated	Solid Tissue Normal
83fa85c4-0cab-4a60-839a-601c5142ec71	TCGA-BH-A1EV-11A-03-TSC.bc848f8c-fda9-476f-9048-7858efc11667.svs	b97436ad179d4a2d8eff3e17a0a10043	49282769	validated	Solid Tissue Normal
850e3d70-e65f-4659-bf70-69f7a366da38	TCGA-BH-A1ES-11A-01-TSA.c3cd8df1-0faf-4eb1-aa70-de039e6efa02.svs	5c1ad9c958673fe1ace402664904a606	43682535	validated	Solid Tissue Normal
883b708d-f9f3-4b62-b4c7-6496963b0f99	TCGA-BH-A1FD-11B-02-TSB.8611282b-6d91-4d3c-b1e1-54d96cb06bff.svs	94a7a27833065081a39955e765c685c3	61017403	validated	Solid Tissue Normal
8ffb3ac6-3ef9-498c-ba16-5a51c6bcb483	TCGA-BH-A0DH-11A-03-TSC.bcf12071-8c86-4c13-b2e8-4b5d4dcb3878.svs	6ec2d00efda78056059dd4d847f8b202	37458181	validated	Solid Tissue Normal
a6e57b65-77af-4dd2-bc46-054833c4bd81	TCGA-BH-A1ET-11B-01-TSA.b297a13b-c8d4-4d10-8592-be8ca988cb39.svs	a41d1c2e71da16ccfa7b52bfe93dd010	63140155	validated	Solid Tissue Normal
a993001f-33d4-4dbc-9776-cd4543cd1547	TCGA-E2-A15L-11A-02-TSB.d9e2b4cb-28c3-474c-b8b7-5951976f2270.svs	190374e1caa64b3e48ed54a38ce29459	63681173	validated	Solid Tissue Normal
ae6dcaf0-0410-4983-b5dd-cf7f590cced4	TCGA-E9-A1NG-11A-04-TSD.fabf57f7-c8cf-4397-8303-ee8110b30ed8.svs	cdf5c5799ab495fc850878befc684ebe	147656377	validated	Solid Tissue Normal
b1b28256-4c16-47c0-96c1-90c6b586ad72	TCGA-BH-A1FD-11A-01-TSA.fad54981-ca6d-4a75-8482-dd1309465ee9.svs	219cdce8e995460dc31eb4c967d6bef3	97908797	validated	Solid Tissue Normal
bb946f8d-e6da-4b50-895d-9b432ec7a33f	TCGA-BH-A1FE-11B-01-TSA.64df3bc1-a7ca-4bc6-bd99-e619d76f5cb0.svs	735328d4698d770bdd3d6f6b6cc0d73e	68077625	validated	Solid Tissue Normal
bbbf2cdb-2666-4fab-999c-919d72d8f7fd	TCGA-BH-A1ET-11A-01-TSA.b801847e-b355-4f14-ad15-60242b5339d2.svs	d23466f5241a79e74175d170969e05a5	46825897	validated	Solid Tissue Normal
c6151520-3efa-4f6b-a8d3-f27b8afce5d2	TCGA-E9-A1RH-11A-03-TSC.b5b0041c-61c5-45ee-b943-cce27b5a29f5.svs	602ea6ce4bdd1d54a1112274286c8ff2	50299999	validated	Solid Tissue Normal
c91ae28f-1ab0-49bd-ad6a-664f8307e128	TCGA-E2-A15I-11A-01-TS1.9dd74531-88fc-4b58-bc3a-f0a37a9d3fce.svs	d2cf73ee68ef0064db9b0e45a7bcdade	51698299	validated	Solid Tissue Normal
cf36f381-e38e-42bd-852e-b25c846104bb	TCGA-BH-A0BS-11A-01-TSA.2830eb43-a695-49c0-a69d-0b17545f8bde.svs	022b3bcf144b7d9d5a6bcadf84cb3b2b	318763733	validated	Solid Tissue Normal
d058c274-3151-4ca6-9660-d4a5465f61ca	TCGA-BH-A1EV-11A-02-TSB.b52752d6-6898-476e-8727-5c05ef49ce28.svs	26df18e92d3033fd879535ea0dc33eb5	57375761	validated	Solid Tissue Normal
d7ef4778-ad23-4ae6-b8f3-149642666c98	TCGA-E2-A1L7-11A-03-TS3.51feadcb-2877-436b-8571-c61854e266e5.svs	6d1ffdb14eaccfd722dd7081c8bce1f0	83353925	validated	Solid Tissue Normal
e0e797f3-e527-4f1e-834d-07da09ef84a9	TCGA-AC-A2BM-11A-01-TSA.5457450A-A90E-4D41-9737-3ACC40D09211.svs	7584bca40eb59ad5beec9df81b66ddb5	52575153	validated	Solid Tissue Normal
e12b8611-f49a-4cdd-849e-0384478fbbc0	TCGA-BH-A18T-11A-04-TSD.8013c4d9-cb10-4576-a68a-39c179870283.svs	400968c1a15de23c6981714599b611a0	49403783	validated	Solid Tissue Normal
e412d797-4fce-4595-b5e1-f2448af7dea4	TCGA-06-0675-11A-03-TS3.A650CD6A-E0FE-4C6E-8CC1-E6BD8485735A.svs	ad2a922731a41cbe1c26f6caebc50664	96690203	validated	Solid Tissue Normal
