id	filename	md5	size	state
b7e0a8ef-3225-4883-9f3c-b4be81b95236	TCGA-06-0213-01A-01-TS1.98ce228f-2409-4aa1-8651-512c326eac8c.svs	777dc1cc254bfa32953a274e0b4171ed	39029327	released	Primary Tumor
1eb9a324-b9e9-4b59-805e-ec2369ed8e8e	TCGA-08-0390-01A-01-BS1.b4c54f6f-d48f-4ff9-808f-8fa34c9011e5.svs	3a82b032d030d71f6ac0c2a29fe42b6a	108731041	released	Primary Tumor
1b5a5b59-fd04-4246-98a8-afd79d501aff	TCGA-12-0822-01A-01-TS1.016c757f-60e4-4193-a634-1b3b184dcf11.svs	94bcc95b07016c7deb72246cb57201de	228913327	released	Primary Tumor
59a804d2-95fc-464f-81b5-cb017737fb65	TCGA-16-1062-01A-01-BS1.a4bface5-0fcf-43b7-abec-20d7c9db8ea6.svs	a454d38db2a206b604e8a0d4c0804712	83417069	released	Primary Tumor
24faf994-0bf9-49e8-a52e-4c99e7fa8d2f	TCGA-16-1060-01A-01-BS1.1697962a-8602-4a37-9543-967bdf27cbc5.svs	b9116707bff690bde54930e0a1b52220	65052493	released	Primary Tumor
329e51c8-5f49-404c-b575-0fe7c5ebbf2c	TCGA-28-5209-01A-01-BS1.aa89db36-1d97-4919-8b1f-eb436da85379.svs	a6179219e8ab3b0bcaf9afe784ef3de2	67781123	released	Primary Tumor
048c0d4b-f535-41c0-8ee5-6b7a3b7a0625	TCGA-76-6286-01A-01-TS1.68048529-8f03-4641-a821-3fa49c22a5fd.svs	92e55bd0c9c3bebe2cf5a307cc675fd6	50714809	released	Primary Tumor
1eb9800e-ad5e-4c45-97a5-5ad1aadcf693	TCGA-08-0525-01A-01-TS1.4ca56355-5f29-40ce-8006-da1f125f511c.svs	55ab7c285c025ff50e41a9e6198fd840	61922353	released	Primary Tumor
2eb2cc2a-cc3d-4add-92b6-696fa2606a0d	TCGA-12-0780-01A-01-BS1.e714dbc5-fb7a-4cda-9b5f-0f999e440126.svs	47f23bf09cda654ebed5f2a3b3e57bc2	221843057	released	Primary Tumor
6a4e6949-fc6d-483e-9cf4-7b149138cd2b	TCGA-06-0156-01A-01-TS1.bafe0641-4493-49b3-abe5-057fe10dd188.svs	75f704c9967cbff887b5bc1d74745045	124889019	released	Primary Tumor
504801e3-1fdc-4de2-a91f-73f8e9445b59	TCGA-06-0882-01A-01-BS1.4bbbebf4-f54f-494e-b95e-9e037421ce10.svs	df30cb47bdba4e28bde3304ba53b42bc	140144547	released	Primary Tumor
ec59eac9-593f-405c-a5f8-ed1153b8b8bd	TCGA-06-0882-01A-01-TS1.bad6b386-eac5-4f5d-ab1b-9a169fbed9a0.svs	10b22ef0c57cc959f64b05e0ecae4e15	93938967	released	Primary Tumor
0090f592-7ba6-41e1-b455-793d495e2598	TCGA-12-1600-01A-01-TS1.c835118e-575a-4009-8130-701ba69591c1.svs	6975f9268c42d4866269ceb69524a204	51053235	released	Primary Tumor
4a3c54da-6d25-4b57-b88a-3525fd43c4af	TCGA-06-0881-01A-02-BS2.71c26949-a8df-40fe-ae1a-daac032a4489.svs	59f431163384f29884636723f71114d0	500370955	released	Primary Tumor
