id	filename	md5	size	state
6315a0df-c8ca-4ade-bb42-27e431ded1bb	TCGA-B6-A0RI-01A-01-TS1.89a3333b-0f81-4154-a28d-91bc53e7682c.svs	4cedfafe39a7fb07486635ea4293afbc	235599037	released	Primary Tumor
a0259ba4-e638-4eee-bb84-1b41060a666f	TCGA-B6-A0RI-01A-01-BS1.9271aae8-cb65-481e-ada2-d0358f14a1de.svs	22da872048918b8c04733d2f2cf036a4	124583433	released	Primary Tumor
297933f5-1316-4cb6-b53f-9dbfa7f3d7ed	TCGA-B6-A0RH-01A-02-TSB.ea83f31e-defb-4436-8a58-5b66b18d13b5.svs	ca4406710be93215f190dd3ce10c56ab	160702797	released	Primary Tumor
b73ca1e9-4938-4467-a805-fefc230b543b	TCGA-B6-A0RH-01A-02-BSB.4d8dc01d-171d-4bde-9f7c-2e54a2bbb427.svs	a99ac277383885db7306a886ac0a19ab	112600111	released	Primary Tumor
76312b70-ba23-4460-b2b3-e3880c50a616	TCGA-BH-A1FU-11A-02-TSB.3eea4c17-bf8b-46c0-90df-fcfa364c6724.svs	d894a96b00a45fe47f7a626d578398fa	47319825	released	Solid Tissue Normal
425f65d2-a66b-4ee7-9b5b-257deb27a957	TCGA-BH-A1FU-11B-02-TSB.006fc1c5-95e1-43d7-a9dd-8ec9f6bb60b0.svs	e971b9104f94190cda2b847c77bb194e	70452157	released	Solid Tissue Normal
a30eb555-7366-4137-b78a-b5b841c4a869	TCGA-BH-A1FU-11B-03-TSC.955dbf0e-b2b2-4d89-bf94-7da8f525db85.svs	8d5e7423a8586b787b8fa18c47083833	39395447	released	Solid Tissue Normal
3e965644-524c-487e-b7cd-e4b57e37cb12	TCGA-A2-A0EU-01A-02-TSB.648d1299-d273-4ae2-8926-cfad39ff735a.svs	c8cd617b57018d2f2ef6b39593467d86	179160547	released	Primary Tumor
72eb9e68-70eb-4922-8c22-5ab31695d0fe	TCGA-AR-A0TX-01A-01-TSA.4f6a2ef2-8c09-4c9a-aea9-5601722f4e4c.svs	043ee5574e1247909063d3585e3b84f6	288284829	released	Primary Tumor
c306b4bb-a653-441d-ac56-a9a7ad9a951c	TCGA-A1-A0SE-01A-01-TS1.9de25aa5-6128-49b4-990b-c6bf3830489d.svs	b1cb6fee5a1d969eb87b108324a1fce0	480070205	released	Error
58c02475-883e-4d70-9a25-fbe992831cc6	TCGA-A2-A0YG-01A-02-TSB.8bd4f37a-7944-4379-910c-621a80229783.svs	599aecd29d8cc71b9c85a0738c131786	265722831	released	Primary Tumor
1fc9aa78-01f6-4175-b8ae-f5e43877e63a	TCGA-E2-A153-11A-02-TS2.00af80a8-4672-4434-99b0-474c720f1090.svs	b7d4765d63f80729ceaaddc76392eb95	118981291	released	Solid Tissue Normal
c1023af8-1b71-4943-a537-f34b2c637db9	TCGA-A1-A0SD-01A-01-BS1.24ae9ce9-ef51-4cef-a095-1681d4bdd2fb.svs	f5f929982d6aec11263f8a86eb28a2d1	227494851	released	Primary Tumor
8374c336-f655-40df-b0bb-d16aafd43342	TCGA-D8-A1XD-01A-01-TS1.c21dde19-2c65-4c17-ae8f-27371c2413d1.svs	eb5a425a2a1f215234b7557a4f3b6638	246919561	released	Primary Tumor
b052b2c3-fa18-4706-92e3-8137af39226c	TCGA-EW-A1IZ-01A-01-TSA.a52af132-ed54-40a0-931b-913928cf057f.svs	703324db1bcb7d3fb4598dfbd7db4c56	156305739	released	Primary Tumor
