id	filename	md5	size	state
3175c39d-1f11-4c5e-9cc9-df3cc89773c6	TCGA-3H-AB3X-01A-01-TS1.6AA9B64A-9624-424E-87BE-2CA9902794A2.svs	54f618bebfb09f0296129c5c3db9d980	186930689	released	Error
e2053840-4d14-4e2a-b53f-9935efe0e67f	TCGA-55-8619-01A-01-TS1.0dc030d8-c16e-4d3b-8bae-9f8ec5ab8962.svs	efb58409acf7a80d0aa63d93362c64e7	82474085	released	Primary Tumor
06b465cc-09d0-465f-b064-2e83b16ac2e2	TCGA-50-6594-11A-01-TS1.cbb46ec1-8926-444f-a557-755b5e38a88b.svs	6e50426d71c77015c95f8d1126939197	114380617	released	Solid Tissue Normal
ade02d64-3c9c-474c-a88c-799db6b37a68	TCGA-MP-A4TF-01A-01-TS1.23093891-0A89-490A-A5F2-71386E26F6A7.svs	4063963dcee16563377ae22a3893d6ad	148542027	released	Primary Tumor
8cc3b5f7-1f74-4bb9-a046-9870d8cdf912	TCGA-69-7761-01A-01-TS1.5fbed09f-c790-4e78-a3c7-e026c878d906.svs	e0d66fcc1ffcbe87d6cc43b90930deb6	49722763	released	Primary Tumor
5680c82e-d36d-4267-9d13-738501fb996f	TCGA-78-7161-01A-01-TS1.459783b5-2956-4045-a1c2-a605248a6ffa.svs	dfc3bdf9dbf43bb7f9874d3ad48f1795	95957965	released	Primary Tumor
f0f66584-daf2-4712-98e5-c5f773cfa34e	TCGA-69-7760-01A-01-TS1.884236b5-632f-4a00-a7d1-d6d51d84ccf6.svs	1934ee1a46e32bb81b99b95e485473d2	62616061	released	Primary Tumor
aba94e87-1369-4545-a4c4-8c625324c8ca	TCGA-05-4427-01A-01-BS1.e5742d57-c232-477d-b433-fc8f9c596535.svs	e6d39f0793a400aff1d06edb245bf643	195909573	released	Primary Tumor
cd64d232-f816-4ed7-9bdf-8b90b9d5e8d1	TCGA-86-A456-01A-01-TSA.996EFBE2-10E2-454B-B4E7-981FA24404B0.svs	3bf3a3b61e9c5dfceecf44f0a3f9e5d5	283410615	released	Primary Tumor
ceb05e56-a8c4-4235-8487-de47bb031bb0	TCGA-64-1677-01A-01-TS1.64b2b82e-e4be-4399-bcc6-c32bf9089531.svs	4eff2bc1b0071db80717ffade6975b7a	106502379	released	Primary Tumor
358fba50-eb67-4fe0-83b9-d4307ee2ff82	TCGA-44-A47A-01A-02-TSB.48AD5AA4-46DA-4504-B3CF-6E6F3C516167.svs	d718c8a7e5afd33f986f798bceeb100c	119839903	released	Primary Tumor
0b8eacbe-5534-4158-80af-eed3850be956	TCGA-86-8075-01A-01-BS1.4aa32862-77f2-4ade-873e-57afb82c5e29.svs	1ad52afdf59dc732d0f9a60963a1b951	721142115	released	Primary Tumor
86cc0f4a-b80e-4bb8-86be-9f75bc9229e4	TCGA-62-A46U-01A-01-TS1.2A8C9636-86E7-4D76-9192-707AF25DF229.svs	d230228a06ec91fdcff31f2a31a267a5	275290217	released	Primary Tumor
8fb30fba-fde1-41fe-9b13-51efb7ef2c6c	TCGA-55-7573-01A-01-BS1.67eb9c3b-996a-4c70-9ee4-0283413fbc2f.svs	d4049d16b6f9b09b3888a2ce182ee5b5	49780999	released	Error
681f08f1-9d06-44bc-b31b-6392266b4a7b	TCGA-05-5420-01A-01-TS1.cf054ea6-a297-4661-be27-f353c50950f3.svs	ff5fbc9ac58340acb08842b4573ac63b	64846959	released	Primary Tumor
65b1d382-2b58-4d82-8acd-83a10bf620fa	TCGA-44-6147-11A-01-TS1.26eb9ae5-6c07-4c2c-ad4c-30ce3c75cd5f.svs	ab31acadfb1e23d37da720a5dbff2fd4	114349893	released	Solid Tissue Normal
65e2cd02-a692-4b5f-a56c-3bceb44d14f9	TCGA-44-2664-01A-01-BS1.cff0aaf4-2960-4812-a11d-27ae942e6742.svs	2ffaac93ed66cf428876e8f1a8cb9634	161929851	released	Primary Tumor
989c6c42-a956-4ec0-8d7a-f6840129c67c	TCGA-91-6828-01A-01-TS1.9582619f-ecd4-4890-8af1-14e5eb0f536e.svs	13b7ff30dc1d1d0fb3597bb69022d8b1	36623953	released	Primary Tumor
2f04f452-8499-4564-90be-b316ba6dc403	TCGA-91-6847-11A-01-TS1.bed7fd2b-0ae1-4903-8da2-437a0a827b0b.svs	fe6d97c232545f7a55187233f0ee13d0	142923587	released	Solid Tissue Normal
17b36e17-3f70-4f85-8678-e0efea66d623	TCGA-55-6970-11A-01-TS1.f65f4bbc-0acd-4289-8a72-290630650be7.svs	4d9192b2be758a2ccc54295645af1ae7	20113993	released	Solid Tissue Normal
cfdc67d7-c6b0-467a-80f5-2e07ecd8230e	TCGA-91-6849-01A-01-BS1.bf1eff88-1e15-443a-a9b3-188c896ef8f5.svs	250151377ee5a028bd9036b0c29e521a	46557671	released	Primary Tumor
324d4369-99cf-4055-b995-ed9c8be63b79	TCGA-62-8397-01A-01-TS1.faf5296f-faaf-4d36-8f49-488aa9828182.svs	14544009eff80749d09cc9b3a2b7397a	309946671	released	Primary Tumor
5c1bd3f0-c5dd-4363-9ce4-fa32c735b7d3	TCGA-44-3917-11A-01-TS1.00b8ad90-0c01-4613-8347-7e476263fdfe.svs	54f824947a75f9c5bdbd409832773c3d	101516359	released	Solid Tissue Normal
ffee8ec1-a211-443a-bfdd-341ba481f0d9	TCGA-99-8033-01A-01-TS1.c9f52107-d2d5-4e7d-b30a-3d1d6cf5a5f6.svs	61814706b3cc7ae8e218b05c3ff98cb1	57949999	released	Primary Tumor
27acfac6-86d2-45d7-8e7d-58e4961649b3	TCGA-99-8032-11A-01-TS1.56c5d377-c544-4d59-bdc6-d3fc44d497ec.svs	5a45a11024ca66e29087a6f855d19383	212505889	released	Solid Tissue Normal
4e020921-dec1-4e94-8a78-745944d9d274	TCGA-MP-A4TC-01A-01-TS1.2C09E387-BF15-4ED1-944A-D27EE4972287.svs	9fbc77ae4c62fc396b87e154f3c9f36a	408796423	released	Primary Tumor
ef930f62-8b32-41f8-a910-5c0dcea02679	TCGA-44-3917-01A-01-BS1.1353c4bd-c266-4f07-879d-1d0e1fb08873.svs	a524b1cd1c10e54e5ae0ac04eb5139e7	147922451	released	Primary Tumor
6ddb47a9-3943-41cb-b0cc-411513f13716	TCGA-62-8394-01A-01-TS1.13349af3-80d7-4983-958e-6769819c5484.svs	6ed22643ad60ed1f07b098c7874dee14	322239509	released	Primary Tumor
d705509b-be55-4244-892f-ba74421f6e56	TCGA-05-4384-01A-01-TS1.e4d430ce-bc0e-4446-8a7a-bb831e1285ac.svs	61fc5d64f514fa3ea23e34d53663bd5d	96283271	released	Primary Tumor
f3a47269-2785-4f71-b418-d1d6d97d038f	TCGA-55-8206-01A-01-TS1.4188b107-092e-405f-b035-50b55ebd53c5.svs	e9985f23df960d884b51f5b5f9346a73	93223127	released	Primary Tumor
ae365346-f0d4-4c44-af68-e02424c1d119	TCGA-05-4417-01A-01-BS1.77504096-c1dd-4bbf-ab1a-c12fde152fc1.svs	b2102f1a47f885015110e39315dd6789	156348691	released	Primary Tumor
0b95da6b-7196-4ce2-b431-e39f3c7637ed	TCGA-99-8028-11A-01-TS1.87473534-b3de-4e72-bbcc-d69fe33b25ac.svs	6cd1b2b58e82eeef85c6387264796321	397306549	released	Solid Tissue Normal
48f8f5e4-7143-4c2c-9f78-37c4ab19458b	TCGA-99-8028-01A-01-TS1.62d71299-1b80-4c01-afbd-71ab687a10d0.svs	7482cf9e92477fc73428d824f325f349	169275287	released	Primary Tumor
0194c498-3aa7-461a-8caf-c78b81b0e0a2	TCGA-49-6745-01A-01-BS1.a41e5347-9c8d-4003-a48a-43cd9bfb9dcc.svs	4d6394a36b94c13a2b0136edf34d010b	49685531	released	Primary Tumor
96208124-212d-4b8a-ab8e-ef8e7550094f	TCGA-73-4675-11A-01-BS1.f59c71af-4fcb-459c-93af-a7ab09d80fb6.svs	9ca3da7ed5b4627cb562a5c0cff4ec21	82429779	released	Solid Tissue Normal
da096816-271a-4bd4-80a2-0715237e084a	TCGA-55-7574-01A-01-TS1.13d42a4b-074e-45a7-8a31-dbe505408711.svs	a61ce9c18ffbc2c28b80267a14d82e54	120820575	released	Primary Tumor
f6340a61-8a61-4d0a-a8c7-30db74fa27e9	TCGA-78-7150-01A-01-BS1.c8f783f0-a7e0-42a7-9abd-9e34383a9d7f.svs	ac692d4506777c795587b672ce0e7a42	84154199	released	Primary Tumor
ec2b895a-58a1-46a6-b157-a41429d6079b	TCGA-50-8459-01A-01-BS1.93ce785e-7ddb-4761-bcbd-bd68bb4a6894.svs	3b4cb1f997c82d9b5e79c3d9f687de5f	163323175	released	Primary Tumor
0b6f58d2-f0cb-482d-81af-2d3ee91b0add	TCGA-95-7948-01A-01-TS1.3606c6a9-6823-46e3-b5a5-71622e853363.svs	83979f4636916b33a69d8b676b4dafef	154637105	released	Primary Tumor
bc14091c-1ee6-462f-b761-665684e700ca	TCGA-75-7031-01A-01-BS1.d8662b20-ca4b-4dc1-8c15-fe78f8ea68b8.svs	19bcb18b4f5c9fa2e9faf08a525b91c4	50798659	released	Primary Tumor
92ef950c-7c09-4872-9fbd-e2dbfe5a0223	TCGA-78-7158-01A-01-TS1.7316cf99-dff8-4f59-a0e0-c3ba3eb8dce5.svs	50f53f3987f4c2a0d4de7f3324fea0f4	81565217	released	Primary Tumor
16cac4fe-54cf-4c33-a8c9-11d528886e4f	TCGA-78-7158-01A-01-BS1.3b9b6712-5409-45b1-8f2f-1d868d09be14.svs	017b6ede405f36dca5e09d503bd0048a	155683277	released	Primary Tumor
8faa98d6-f303-4ec5-a9ef-6131006ecb58	TCGA-49-4507-11A-01-TS1.ecbda866-74d0-470b-81dd-3741dc7b473b.svs	15fda63cb3d45dcd3f4a176ee33637c7	96678753	released	Solid Tissue Normal
03a89ed2-6d2b-4306-8568-a40b6b7bbb84	TCGA-49-4507-01A-01-BS1.8f4dcfd1-6a69-413f-a116-af79589ed57b.svs	273fd03cfdee4b2454a7d8629f39bfb3	73739567	released	Primary Tumor
5ea96269-58c6-4c73-a5c0-66fa13e53ec1	TCGA-55-6978-11A-01-TS1.6f7fefca-7318-4df5-8aba-28426168b874.svs	f5c393a947550a78dd13ebb66c565356	112533959	released	Solid Tissue Normal
31042170-0699-45f1-a9c5-0fa602dc9299	TCGA-86-7953-01A-01-BS1.12a70470-317a-4a67-a853-dc5f7e3f673c.svs	4fb9d912840c77211bef5143ac77d436	385027169	released	Primary Tumor
7cba89b4-5843-4707-bca2-7653cfae6c20	TCGA-86-7953-01A-01-TS1.a1eba3f3-29ff-4b67-b6c4-ab0e7dd92299.svs	8de99e64ef5a366918210b14c82ea318	783841377	released	Primary Tumor
05e4e0f9-afcd-4211-b2d6-836351f5ddf8	TCGA-49-AARO-11A-01-TS1.C26224AD-B3EC-47B8-9EA8-480A0D4F12F1.svs	29077030cb5660bc2b78dcf31edc1f73	103497447	released	Solid Tissue Normal
ec1f19aa-30c0-4f26-92cf-b424ce31867e	TCGA-86-A4D0-01A-01-TSA.B2F7A5B9-19C5-4FF5-A644-E089AB3889DD.svs	4ee3a5a861d188de858458f65cba4678	194243291	released	Primary Tumor
0da308ce-a760-4294-ac72-a96a6b30a731	TCGA-55-6983-01A-01-TS1.ec8f181a-3ecb-4a27-995a-13303416016d.svs	8926fc34ef331911f05e83cf447b7f49	144240887	released	Primary Tumor
aa99b1af-0bfe-47c0-953e-fdd337c92f00	TCGA-55-6983-11A-01-TS1.c3a77c2c-6cd7-4aab-8573-92774af0fbb8.svs	2f3fad48a7537ec41d82f7c1306c127e	17429753	released	Solid Tissue Normal
4e9c257a-8e5c-404d-a164-a9cf5d05dad6	TCGA-NJ-A4YQ-01A-01-TS1.E59FACAB-AB32-4D8D-BF11-C68DE16F2A8E.svs	9f417a1e979e19db0e6177be098b0de1	218402369	released	Primary Tumor
9c669488-6e90-4dce-beb9-4f0b61e0f848	TCGA-86-7714-01A-01-TS1.459126fb-76b3-41d3-8a00-c575e3342045.svs	493c34a13cdf4da095615d758874d0c2	703572193	released	Primary Tumor
0c79e436-6b33-4ac6-98b9-6227ce571d38	TCGA-78-7143-01A-01-BS1.60db5bc0-dfe4-400a-816a-5c455c3875cd.svs	d82d5873a84128fa46145e769a3cf638	85560071	released	Primary Tumor
600d7869-ea14-4c55-ada0-6ffd586751b9	TCGA-91-8499-01A-01-BS1.5defdd3c-e8ab-4b69-b857-4903584f3b62.svs	c16890c19f94aef26fd7515712a6d507	88507157	released	Primary Tumor
3ccf53d6-ad22-4d09-bd16-8d36f09129ef	TCGA-75-7027-01A-01-BS1.c25a28f7-788d-4215-a35e-2621d3a54c45.svs	24fd9fd7a72502810bdd29f7ab2cadb8	103629393	released	Primary Tumor
0bcbc692-b2f2-4cbf-a8f0-d1cc94e96101	TCGA-55-8620-01A-01-TS1.2bc7c641-7707-4a23-9b6a-8bd53e50b8dd.svs	9ba4bfe553ebfa5afd384d242a2ea025	131173225	released	Primary Tumor
