id	filename	md5	size	state
92adb2c3-53d4-49de-b675-636967eca4aa	TCGA-61-1740-01A-01-TS1.883377e3-85ad-4319-9b4e-448f3b856bcf.svs	f8469ab3722c328608a4bf3814fc8408	111362705	released	Primary Tumor
e62251db-9dac-441d-bf32-35d96c6a72b9	TCGA-61-1740-01A-01-BS1.5fb2819b-b403-4623-86da-ae6f66b43aa7.svs	23ac1b81dc7a606d7f1db61d2905caf6	153993549	released	Primary Tumor
3ad44eaa-b3e5-4317-b4f4-434e15976438	TCGA-13-0761-01A-01-TS1.8c70bf6d-48ea-466c-8a47-d0c2c7bc26d0.svs	2b34c046692ea7d6241334eeb28ec846	145125309	released	Primary Tumor
eb56cfa7-448e-4ba3-b9ac-ea21ad3af9fe	TCGA-13-0761-01A-01-BS1.73063369-b448-4bb0-9930-3ccb7ed909e8.svs	aad23ca66a9a6055ca13d04b3ac6c167	84517269	released	Primary Tumor
9c00e23e-e79d-4403-836b-af95a5710cda	TCGA-25-2390-01A-01-TS1.44ca2fff-b319-4e21-966f-ebbd17ff7c73.svs	2755d45bc6dce9c85c40b5102f848234	133057843	released	Primary Tumor
0766b689-51b5-40c7-bfe4-361661faa1cf	TCGA-25-2390-01A-01-BS1.755bb36f-5911-414c-bef6-6a1c330300be.svs	7d5ebd01bd4e19275e682fc2f944e071	243134057	released	Primary Tumor
abfd40e1-9639-4d11-8b6a-5051d29b25da	TCGA-29-1766-01A-01-BS1.6edc8a3d-a3a8-44b5-8c3e-ed9021de767b.svs	09caa44376b7e863ad0bc3d40edf6486	257893369	released	Primary Tumor
e71801b2-20be-4a18-8e7a-c2887566e614	TCGA-29-1766-01A-01-TS1.b06eb26c-0803-4278-b5bb-8a23e94145e0.svs	b39b4df1ef9d3c85b9081309e46860c2	121852273	released	Primary Tumor
4021221c-7db9-498a-ab1f-794181d092a3	TCGA-09-2051-01A-01-BS1.15f52287-f11d-4aff-baa0-407a7db6113f.svs	b8247fa181d41c677f51d431fd7da493	81556629	released	Primary Tumor
d01317f4-4183-4c07-a7b6-275a487e93cb	TCGA-09-2051-01A-01-TS1.09cb2b86-223c-4012-aea0-0fb939abfd46.svs	aa5e034697c41a1a521b667aba6275d5	68996517	released	Primary Tumor
f3052287-34e2-4f9b-9758-a475083a9753	TCGA-24-1427-01A-01-TS1.b23b731e-4150-4c0c-b015-e6bbe8933b0b.svs	2cdf476887775c4b2de5cd55acfe0b55	195973813	released	Primary Tumor
