id	filename	md5	size	state
0194c498-3aa7-461a-8caf-c78b81b0e0a2	TCGA-49-6745-01A-01-BS1.a41e5347-9c8d-4003-a48a-43cd9bfb9dcc.svs	4d6394a36b94c13a2b0136edf34d010b	49685531	validated	Primary Tumor
022450db-7064-4a04-ba2d-98d0a67fb84e	TCGA-49-AARQ-01Z-00-DX1.3FA36419-1658-4602-9170-84A622787C3E.svs	0fead36c0b5c78fd0b76e60602127451	1216119521	validated	Primary Tumor
065e8ed3-adce-477d-8012-6cfc498bc335	TCGA-69-8453-01Z-00-DX1.C472096B-95BA-42CD-ADEB-326C38F9DC95.svs	cee5f15b8a4d3725ef2034943a136034	1677844651	validated	Primary Tumor
06b465cc-09d0-465f-b064-2e83b16ac2e2	TCGA-50-6594-11A-01-TS1.cbb46ec1-8926-444f-a557-755b5e38a88b.svs	6e50426d71c77015c95f8d1126939197	114380617	validated	Solid Tissue Normal
070defff-1f5d-49e7-85b9-de4508e8a0c9	TCGA-05-4396-01Z-00-DX1.49DD5F68-7473-4945-B384-EA6D5AE383CB.svs	0bdfc71ab94998847b83a0f18d8b458e	465271414	validated	Primary Tumor
083fea50-313e-42dc-bd80-4b70fec04ddf	TCGA-86-8279-01Z-00-DX1.fd12b60e-d181-454b-a655-298a973a849d.svs	915d05018de82eb1176f672dd2daafe2	621193831	validated	Primary Tumor
0a810528-8e08-4772-8fd2-cc0c74f43b49	TCGA-3H-AB3X-01Z-00-DX1.1EF5CB2E-61DF-4BB3-903C-D5F6488DE985.svs	ccc6b5ae03090e8c4d190bc9d1f31cb1	745706884	validated	Primary Tumor
0b4f00a3-4338-4c86-95d9-c2964c8b5a86	TCGA-49-6745-01Z-00-DX1.6bf8a38c-5e3a-4b32-8870-03bc06c0db80.svs	a831abdeecd87e2528be9dec3b6675e7	1329788857	validated	Primary Tumor
0b6f58d2-f0cb-482d-81af-2d3ee91b0add	TCGA-95-7948-01A-01-TS1.3606c6a9-6823-46e3-b5a5-71622e853363.svs	83979f4636916b33a69d8b676b4dafef	154637105	validated	Primary Tumor
0b8eacbe-5534-4158-80af-eed3850be956	TCGA-86-8075-01A-01-BS1.4aa32862-77f2-4ade-873e-57afb82c5e29.svs	1ad52afdf59dc732d0f9a60963a1b951	721142115	validated	Primary Tumor
0b95da6b-7196-4ce2-b431-e39f3c7637ed	TCGA-99-8028-11A-01-TS1.87473534-b3de-4e72-bbcc-d69fe33b25ac.svs	6cd1b2b58e82eeef85c6387264796321	397306549	validated	Solid Tissue Normal
113b75f3-3129-417a-9fd7-e14718b57b86	TCGA-35-4123-01Z-00-DX1.990553a8-657e-49ec-9782-e6d30a4c4909.svs	d3a8ffb63f6913f5e3a459bda39fd5f5	450942981	validated	Primary Tumor
