id	filename	md5	size	state
00781737-74c2-4e80-b58b-c910f15893a1	TCGA-OY-A56Q-01Z-00-DX1.F1556F26-8845-4962-9004-70F9747B46B7.svs	20227779379dfe2ff83c837f7e4a75be	912585610	validated	Primary Tumor
00e0ead8-1067-4e16-90e8-4808bf3efa90	TCGA-61-2002-11A-01-BS1.5824004f-3140-4ea1-8a38-0f84fc77e606.svs	f45c30595efb5105ec45a355efc5699d	73581995	validated	Solid Tissue Normal
03878fc5-aee3-48af-8dc8-d2628b52d47b	TCGA-23-2649-01Z-00-DX1.C94C3B32-D5F5-4A85-9F35-50B377FF9E75.svs	01215390c8b4ae95cb8d3913a0947bce	1158200527	validated	Primary Tumor
04953f26-592e-480d-a56a-bba3f61ed800	TCGA-25-1329-01Z-00-DX1.6DD994F3-E426-4749-8ECA-9A0B87FF04DC.svs	324b4da85042aa8b043e2a43603474a9	3950703384	validated	Primary Tumor
05d65a4b-59c7-44fa-907e-a8c811b6906f	TCGA-23-1809-01Z-00-DX1.A8767DEC-EB1A-4EDC-906E-C0560A30455F.svs	414f59b58e56e6a8694a9a6d3f2ee6b8	1744362619	validated	Primary Tumor
06aaae91-591d-4cb0-b1e7-d89dc2b1979b	TCGA-42-2591-01Z-00-DX1.ea85e14f-5f0a-4ed0-9afe-025bb95fca40.svs	d7975be92b5de0d69c3034b4ab332cc3	415765713	validated	Primary Tumor
08193a47-cea0-4b03-95fc-e8a08707d45f	TCGA-57-1994-11A-01-TS1.e7543edf-c91a-495d-88d4-902c99a3b58f.svs	e5b679f2c502dfa3d4c0e6be6a5b8d9d	27826365	validated	Solid Tissue Normal
0afa1e88-9778-4070-93c7-8af7a5a559b2	TCGA-42-2587-01Z-00-DX1.7a887a16-a8bc-403b-ab71-a8b43e5613fc.svs	4a277bce3d6edb0a949e83f0d43e2e0b	138457713	validated	Primary Tumor
0c8fb1f0-6e69-4c2d-9f20-dee14f047edc	TCGA-59-2349-11A-01-BS1.5f2c82cb-69e9-4c51-b4ea-54b0e5b5a1cc.svs	aa1a0781225b0622f45c35f88ab5fef4	261597341	validated	Solid Tissue Normal
0de5362f-e6ba-4646-9603-ad54a55aa9bf	TCGA-61-1913-11A-01-BS1.2e3a6b2c-7b10-44fc-b006-7e12cc1762cc.svs	8818bdded71f2c91e5df195980d61aaa	77754813	validated	Solid Tissue Normal
1026b52b-baef-4f3e-ae9e-a088fa2cf246	TCGA-23-1107-01Z-00-DX1.5B9C1283-62B5-4329-873D-009FA939CA69.svs	cbbbd7653915cd0c33921090368cdea3	2264299355	validated	Primary Tumor
119c07cb-d48d-430e-b96e-0e2136856d0e	TCGA-5X-AA5U-01Z-00-DX1.1A03C105-4086-4AAB-B821-A9E8156FA704.svs	f13949c8c4ae237b80a261b62c895989	1056363595	validated	Primary Tumor
14e2668f-3db7-4bdd-b204-d4eceae6dffe	TCGA-25-2408-01Z-00-DX1.760F6B8D-A61E-4C87-B90D-82E1AF56C204.svs	a0d2a739bdadbc8f874519ec6faa1d72	2656842596	validated	Primary Tumor
16600a3c-0131-43c0-9f3c-4e5b2c449e08	TCGA-61-2611-11A-01-BS1.13c59f48-5d1e-426f-a36a-4840672476dd.svs	004569bce317a440cfbb0a931e03fa59	169531037	validated	Solid Tissue Normal
1d51d527-f2f5-45d7-ace3-b8a3c5c44276	TCGA-57-1992-11A-01-BS1.5bde7102-0e67-4a0f-8804-21be2a137f1e.svs	39a1211414c8e4ce6fe4a976ca547da4	436004227	validated	Solid Tissue Normal
1f36b223-160e-4453-bdab-b38a7bf7611b	TCGA-23-1022-01Z-00-DX1.AF9E523E-CB0F-4AB5-AD43-C96731BF9141.svs	e9f3edf2597169a6aaaad8d15125b293	1368851883	validated	Primary Tumor
1f84133f-3109-48d1-922b-a7b7fcd65a0d	TCGA-59-2348-11A-01-TS1.e5fdf450-cf29-41ee-8c70-0a522dc78739.svs	2b10c6223124e07d2a91002013f70245	113127139	validated	Solid Tissue Normal
203462bb-edad-49b6-994a-2bf9b0b664e7	TCGA-23-1117-01Z-00-DX1.783914B6-B079-4828-B77B-4C6306FAE4C1.svs	043d7734bc01e4371195da79cc50eb5e	2214439179	validated	Primary Tumor
23546da3-2a5c-4680-a31c-e6f79c156646	TCGA-04-1644-11A-01-BS1.33c7e0e1-7a2a-4964-835a-ad17c0061da1.svs	b850d9a75c45b9adb5f95c57851bca2e	44517501	validated	Solid Tissue Normal
261a95f3-1ec4-48ee-9b63-efe8faa8b6b1	TCGA-42-2589-01Z-00-DX1.c3abd56a-7d75-4972-982f-3d86da96ad1b.svs	627d146d42eda1de53e767274675d553	180705935	validated	Primary Tumor
26a2ec96-cdf1-419e-b0b3-55d2a2db0fd2	TCGA-23-1114-01Z-00-DX1.26CCA42E-4947-4318-A983-D3B31603482E.svs	e34d7e64d5cba3cdc57dc8863e6ffecd	2334571527	validated	Primary Tumor
